frequency,cycle,realIMP,imIMP,label
6411.917,94.0,0.37889,-0.00937,1007
287.43645,75.0,0.60903,0.28612,427
547.26132,47.0,0.61356,0.09552,2227
3980.58758,153.0,0.37266,0.04608,1847
15625.32498,104.0,0.33767,0.0227,1983
15804.05873,130.0,0.32746,0.01568,1937
16.53773,168.0,0.85422,0.08455,2146
7.67073,4.0,0.94086,0.01832,1845
0.01999,172.0,1.00923,0.18692,2410
0.23048,91.0,1.27293,0.42222,1090
117.98693,19.0,0.72068,0.21362,1549
0.01999,129.0,1.37826,0.13978,1772
13.68795,300.0,0.94517,0.19594,422
630.62683,181.0,0.5773,0.08936,2492
0.01999,339.0,1.43546,0.56925,500
0.01999,227.0,1.41211,0.0844,619
0.01999,248.0,1.70231,0.37264,1703
21.08847,106.0,0.60797,0.14555,1475
3.13992,83.0,0.91452,0.17032,1427
248.60532,126.0,0.69828,0.15872,121
3175.12277,15.0,0.4039,0.07929,1167
766.83359,125.0,0.5245,0.12907,1245
4.00429,29.0,1.54692,0.18577,961
0.01999,108.0,1.43355,0.21956,1667
3.13326,67.0,0.94109,0.04322,2151
3.93115,234.0,1.26191,0.25931,1685
3.97435,186.0,1.32475,0.11993,745
0.01999,91.0,1.44958,0.11194,1719
13.88568,326.0,0.79324,0.56154,2207
0.78843,275.0,1.47349,0.11449,338
0.01999,235.0,1.17314,0.87821,1572
857.36202,126.0,0.47864,0.07921,2230
346.74803,174.0,0.52212,0.89665,875
790.72233,58.0,0.65957,0.04247,371
5.89185,302.0,1.89954,0.31218,2036
4.41432,269.0,1.4668,0.13271,1581
0.01999,133.0,1.02604,0.38443,1052
2200.91078,13.0,0.4256,0.11501,958
3.58119,25.0,1.47952,0.22879,1596
134.81416,47.0,0.50488,0.13522,33
0.94035,57.0,1.62816,0.21647,811
164.44764,123.0,0.63387,0.1031,2059
11.23291,171.0,1.08546,0.22144,1432
0.01999,154.0,1.48388,0.13155,275
2869.53977,132.0,0.33312,0.01754,1150
3330.77599,138.0,0.56734,0.02016,1302
6404.63831,235.0,0.3016,0.07139,1050
0.01999,133.0,1.66062,0.24427,1041
9.32667,67.0,0.87885,0.17321,894
3525.60829,33.0,0.53109,0.11429,669
9977.70158,51.0,0.33212,0.02022,75
0.01999,75.0,1.45237,0.12256,1572
3.35736,136.0,1.06668,0.09142,1287
0.89179,85.0,1.46705,0.24173,1827
53.81438,299.0,0.60176,1.31261,363
0.01999,71.0,1.4801,0.30995,1184
0.01999,300.0,2.10047,0.40983,425
244.12427,176.0,0.66245,0.10783,2135
0.01999,60.0,1.35959,0.2779,1231
1.87202,68.0,1.17876,0.78477,1895
7.38149,281.0,0.97171,0.0339,2020
0.01999,242.0,1.11977,0.07236,605
125.26964,260.0,0.80529,0.22577,333
0.01999,159.0,1.46927,0.08308,1943
111.73901,7.0,0.77655,0.20814,1524
2.60376,10.0,1.07298,0.03008,1605
16011.06208,163.0,0.30047,-0.0491,1235
20.06603,107.0,0.82315,0.09171,1783
1696.93151,21.0,0.52317,0.08473,1663
1910.714,63.0,0.51609,0.16198,734
